Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
68,N5GRK,443.42500,+,5,,88.5,88.5,23,NN,FM,5,"Carrollton",
69,N5GRK,444.47500,+,5,,88.5,88.5,23,NN,FM,5,"Haslet",
70,N5HKA,444.60000,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
71,N5PMB,443.15000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
72,N5SHC,444.95000,+,5,,88.5,88.5,23,NN,FM,5,"Cedar Hill",
73,N5TDX,145.50000,-,0.6,,88.5,88.5,23,NN,FM,5,"Westland",
74,N5UA,442.97500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
75,N5UN,423.97500,+,5,Tone,156.7,88.5,23,NN,FM,5,"Fort Worth",
76,N5UN,443.97500,+,5,Tone,131.8,88.5,23,NN,FM,5,"Fort Worth",
77,N5VAV,441.85000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Richland Hills",
78,N5WD,446.05000,,0,Tone,110.9,88.5,23,NN,FM,5,"Lake Worth",
79,N5XED,145.50000,-,0.6,,88.5,88.5,23,NN,FM,5,"Goshen",
80,NR5E,441.35000,+,5,,88.5,88.5,23,NN,FM,5,"Arlington",
81,NT5J,443.17500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Keller",
82,W5AHN,147.26000,+,0.6,Tone,85.4,88.5,23,NN,FM,5,"Cedar Hill",
83,W5AHN,443.72500,+,5,,88.5,88.5,23,NN,FM,5,"Cedar Hill",
84,W5AUY,147.06000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"Cedar Hill",
85,W5AUY,444.50000,+,5,,88.5,88.5,23,NN,FM,5,"Cedar Hill",
86,W5CQU,145.52000,,0,,88.5,88.5,23,NN,FM,5,"Double Oak",
87,W5DFW,443.17500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Keller",
88,W5EUL,442.90000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Euless",
89,W5FA,145.33000,-,0.6,,88.5,88.5,23,NN,FM,5,"Richland Hills",
90,W5GSR,441.35000,+,5,Tone,114.8,88.5,23,NN,FM,5,"Duncanville",
91,W5LLR,446.05500,,0,Tone,210.7,88.5,23,NN,FM,5,"Justin",
92,W5MAY,442.40000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Cedar Hill",
93,W5MGM,146.44000,,0.6,,88.5,88.5,23,NN,FM,5,"Bethel",
94,W5OYS,444.82500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Boyd",
95,W5PSB,444.55000,+,5,,88.5,88.5,23,NN,FM,5,"Arlington",
96,W5RV,441.90000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Colleyville",
97,W5SH,146.84000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
98,W5SJZ,147.28000,+,0.6,,88.5,88.5,23,NN,FM,5,"Fort Worth",
99,W5SJZ,442.20000,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
100,W5URH,146.68000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
101,W5URH,146.80000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
102,W5WB,147.06000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"Cedar Hill",
103,W7YC,441.30000,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
104,W7YC,444.57500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Watauga",
105,WA5CKF,146.72000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Irving",
106,WA5CKF,442.67500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Irving",
107,WA5VHU,443.85000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Arlington",
108,N5EOC,145.40000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Grapevine",
109,WB5IDM,147.16000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"Azle",
110,WB5IDM,442.15000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Azle",
111,WB5IDM,444.97500,+,5,,88.5,88.5,23,NN,FM,5,"Azle",
112,WB5JHR,444.52500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
113,WB5NDJ,443.55000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Argyle",
114,WB5YUV,442.40000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Cedar Hill",
115,WD5DBB,146.86000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Arlington",
116,WD5M,145.25000,,0,Tone,110.9,88.5,23,NN,FM,5,"Rhome",
117,WD5M,445.75000,,0,,88.5,88.5,23,NN,FM,5,"Swan Lake",
118,WD5M,446.05000,,0,Tone,110.9,88.5,23,NN,FM,5,"Rhome",
119,WD5RP,145.56000,,0,,88.5,88.5,23,NN,FM,5,"Tate Springs",
120,WX5FWD,444.30000,,5,,88.5,88.5,23,NN,FM,5,"Melody Hills",
121,WX5FWD,446.47500,,5,,88.5,88.5,23,NN,FM,5,"Melody Hills",
122,AL7HH/R,444.80000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Irving",
