No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info,Receive GPS Info,GPS Timing Report,GPS Timing Report TX Contacts
14,Analog CH,WA5JRS,448.775,443.775,High,75S,No,1,Yes,No,No,12.5K,None,167.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
15,Analog CH,NRHARC 440,441.75,446.75,High,75S,No,1,Yes,No,No,12.5K,None,100,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
16,Analog CH,FTW,145.33,144.73,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
17,Analog CH,Bedford2825,442.825,447.825,High,75S,No,7,Yes,Yes,No,12.5K,None,110.9,Channel Free,Yes,Simplex,Slot2,,0,No,Normal Mode,1,Yes,Prohibit TX,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact
18,Analog CH,Hurst2850,442.85,443.45,High,75S,No,7,Yes,No,No,12.5K,None,88.5,Channel Free,Yes,Simplex,Slot2,,0,No,Normal Mode,1,Yes,Prohibit TX,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact
19,Analog CH,Colleyvill1900,441.9,445.9,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
20,Analog CH,FTW2125,442.125,447.125,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
21,Analog CH,Arlington4200,444.2,449.2,High,75S,No,1,Yes,No,No,12.5K,None,100,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
22,Analog CH,Keller7200,147.2,147.8,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
23,Analog CH,Dallas6880,146.88,146.28,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
