Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
67,KG5LL,441.55000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Dallas",
68,KJ5AE,442.75000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Trophy Club",
69,KJ5HO,146.62000,-,0.6,Tone,131.8,88.5,23,NN,FM,5,"Paradise",
70,KJ5HO,441.92500,+,5,Tone,173.8,88.5,23,NN,FM,5,"Paradise",
71,KJ5RM,445.80000,,5,,88.5,88.5,23,NN,FM,5,"Avondale",
72,KM5HT,442.85000,+,5,,88.5,88.5,23,NN,FM,5,"Hurst",
73,KM5R,442.22500,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
74,KM5R,442.32500,+,5,Tone,127.3,88.5,23,NN,FM,5,"Cedar Hill",
75,KM5ZG,146.45000,,0.6,,88.5,88.5,23,NN,FM,5,"Lewisville",
76,N2DFW,145.45000,-,0.6,,88.5,88.5,23,NN,FM,5,"Irving",
77,N3GLD-L,433.50000,,0,,88.5,88.5,23,NN,FM,5,"Boussemghoun",
78,N4MSE,442.02500,+,5,Tone,127.3,88.5,23,NN,FM,5,"Dallas",
79,N4MSE,442.75000,+,5,Tone,127.3,88.5,23,NN,FM,5,"Arlington",
80,N4MSE,443.45000,+,5,Tone,127.3,88.5,23,NN,FM,5,"Fort Worth",
81,N4MSE,444.02500,+,5,Tone,127.3,88.5,23,NN,FM,5,"Dallas",
82,N4MSE,444.65000,+,5,Tone,186.2,88.5,23,NN,FM,5,"Dallas",
83,N5ABV,442.77500,+,5,Tone,110.9,88.5,23,NN,FM,5,"North Richland Hills",
84,N5ABV,443.30000,+,5,,88.5,88.5,23,NN,FM,5,"Keller",
85,N5API,441.30000,+,5,Tone,146.2,88.5,23,NN,FM,5,"Denton",
86,N5AUX,442.37500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Fort Worth",
87,N5BFG,442.15000,+,5,,88.5,88.5,23,NN,FM,5,"Dallas",
88,N5DA,443.00000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Dallas",
