No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info,Receive GPS Info,GPS Timing Report,GPS Timing Report TX Contacts
20,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
21,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
22,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
23,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
24,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
25,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
26,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
27,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
28,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
29,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
30,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
31,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
32,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
33,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
34,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
35,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
36,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
37,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
38,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
39,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
40,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
41,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
42,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
43,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
44,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
45,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
46,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
47,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
48,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
49,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
50,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
51,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
52,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
53,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
54,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
55,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
56,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
57,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
58,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
59,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
60,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
61,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
62,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
63,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
64,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
65,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
66,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
67,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
68,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
69,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
70,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
71,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
72,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
73,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
74,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
75,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
76,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
77,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
78,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
79,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
80,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
81,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
82,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
83,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
84,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
85,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
86,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
87,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
88,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
89,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
90,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
91,,,,,High,75S,No,7,Yes,No,No,25K,None,None,Allow TX,,,,,,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact
